,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID
228,0.829,1,0.657,0,-6.802,0.0648,0.235,5.27e-05,0.0937,0.811,116.984,155897,4vI2KCvXTAPR3vfiWg1J78,Terminator,Asake,Terminator,4vI2KCvXTAPR3vfiWg1J78
229,0.897,0,0.642,2,-3.493,0.0455,0.415,0.0354,0.0844,0.718,103.006,153018,0KLY7SCQuVA4Hk1nzk61p4,"Majo (feat. Wizkid, Alpha P & Tay Iwar)",DJ Tunez,"Majo (feat. Wizkid, Alpha P & Tay Iwar)",0KLY7SCQuVA4Hk1nzk61p4
230,0.855,0,0.854,0,-5.708,0.0901,0.14,0.318,0.379,0.658,111.081,184800,2Ydj7wgn4ZrFFQsfFBTTYJ,Eh God (Barnabas),Kizz Daniel,Barnabas,2Ydj7wgn4ZrFFQsfFBTTYJ
231,0.549,1,0.538,9,-6.731,0.0433,0.212,0.0319,0.127,0.128,180.047,172722,1U2fUzMkgprQoocKlYu3Oj,you,CKay,you,1U2fUzMkgprQoocKlYu3Oj
232,0.566,0,0.502,6,-4.838,0.373,0.289,0.0,0.105,0.357,126.122,138034,1IiNgs5RGEYyGQFLXJvte5,In My Mind,BNXN fka Buju,Bad Since '97,1IiNgs5RGEYyGQFLXJvte5
233,0.773,0,0.526,5,-11.858,0.0809,0.579,0.00297,0.169,0.813,99.989,227328,0lWW0X74IvjNlgY5glykvY,Many Ways (feat. Wizkid),BNXN fka Buju,Bad Since '97,0lWW0X74IvjNlgY5glykvY
234,0.55,0,0.295,7,-6.507,0.076,0.607,0.012,0.0994,0.619,176.094,137727,5bAsB0uRfEAOj9d3vsNSm5,FOR MY BABY,Gyakie,FOR MY BABY,5bAsB0uRfEAOj9d3vsNSm5
235,0.859,0,0.822,10,-5.005,0.0467,0.07,0.0144,0.101,0.908,110.045,177170,2pUlBBWq8R10ylbBvZJV9j,Bad To Me,Wizkid,Bad To Me,2pUlBBWq8R10ylbBvZJV9j
236,0.792,1,0.503,1,-8.044,0.0626,0.0369,0.00057,0.0959,0.381,99.97,185093,1rrqJ9QkOBYJlsZgqqwxgB,Rush,Ayra Starr,Rush,1rrqJ9QkOBYJlsZgqqwxgB
237,0.821,0,0.611,0,-8.967,0.0535,0.0131,0.00393,0.0395,0.431,113.006,327080,16vqEDaCZpq5zdgop8U9uM,Big Flexa,Costa Titch,Big Flexa,16vqEDaCZpq5zdgop8U9uM
238,0.749,0,0.663,5,-7.093,0.0364,0.0379,0.000168,0.103,0.593,104.967,148000,6RbOyNeajWax51NtpO6WT8,Soweto,Victony,Outlaw,6RbOyNeajWax51NtpO6WT8
239,0.645,1,0.324,7,-11.224,0.0302,0.733,0.0014,0.547,0.414,115.002,100174,46gfN72BxmLvACx6Pve4XU,Dull,Asake,Mr. Money With The Vibe,46gfN72BxmLvACx6Pve4XU
240,0.779,0,0.79,9,-6.246,0.0612,0.0691,2.24e-05,0.506,0.484,113.064,123717,2wgvxtggKVzPkl0smF2UzI,Organise,Asake,Mr. Money With The Vibe,2wgvxtggKVzPkl0smF2UzI
241,0.819,0,0.817,1,-8.221,0.0698,0.0593,0.201,0.275,0.77,120.039,148000,5UwxpuGHkwiojKDaPC5ZNu,Joha,Asake,Mr. Money With The Vibe,5UwxpuGHkwiojKDaPC5ZNu
242,0.72,1,0.602,0,-6.797,0.07,0.23,0.00472,0.509,0.709,93.966,183830,0VjzaXw81JQJM61pzWwP8b,Nzaza,Asake,Mr. Money With The Vibe,0VjzaXw81JQJM61pzWwP8b
243,0.868,0,0.833,9,-6.893,0.116,0.24,0.000435,0.196,0.675,114.993,154723,0cukQLqNf7Ac4AGehrRUlj,Machala,Carterefe,Machala,0cukQLqNf7Ac4AGehrRUlj
244,0.891,0,0.692,5,-6.321,0.0483,0.173,0.132,0.0939,0.895,109.944,176135,0u2A4QNAMUyfQbgfVR3HvK,Cough (Odo),Kizz Daniel,Cough (Odo),0u2A4QNAMUyfQbgfVR3HvK
245,0.843,0,0.725,6,-7.282,0.0539,0.165,0.00357,0.0948,0.556,120.0,150000,5F4OfeowSReF93KcH2eUcG,Xtra Cool,Young Jonn,Xtra Cool,5F4OfeowSReF93KcH2eUcG
246,0.797,0,0.627,4,-7.096,0.0698,0.183,0.0,0.156,0.606,96.019,249533,5mXZz0tXIToxu3HRohrdSK,SETE (feat. Young Stunna & Blxckie),K.O,SETE (feat. Young Stunna & Blxckie),5mXZz0tXIToxu3HRohrdSK
247,0.509,0,0.708,10,-6.532,0.258,0.431,0.00013,0.183,0.629,203.582,170699,6fZmsZJAnLXJW7p9KO9hNI,Slow,Camidoh,Slow,6fZmsZJAnLXJW7p9KO9hNI
248,0.773,0,0.566,9,-7.573,0.0591,0.091,0.473,0.0843,0.585,105.977,192518,3nOK7iHFsy16nsIflFhGnP,i,Omah Lay,Boy Alone,3nOK7iHFsy16nsIflFhGnP
249,0.686,0,0.736,7,-3.414,0.258,0.286,7.62e-06,0.0995,0.752,200.07,195940,2dG1cXdbEPKEOyUq96R9xz,Compromise (feat. Rema),Fireboy DML,Playboy,2dG1cXdbEPKEOyUq96R9xz
250,0.752,0,0.71,9,-7.125,0.0643,0.0898,0.0,0.135,0.616,114.061,161053,3J5IO8OLj05dRaZjHBHS8D,Loaded,Tiwa Savage,Loaded,3J5IO8OLj05dRaZjHBHS8D
251,0.914,0,0.643,6,-3.862,0.134,0.0498,0.0,0.0618,0.764,105.033,187907,1DA2ADZs6O28y2rmdmpekw,2 Sugar (feat. Ayra Starr),Wizkid,"More Love, Less Ego",1DA2ADZs6O28y2rmdmpekw
252,0.6,0,0.659,4,-7.264,0.0542,0.176,0.0,0.111,0.307,89.955,221747,0AoBY2Y3qs6dtGgOD6c91N,Alone,Rihanna,Black Panther: Wakanda Forever - Music From and Inspired By,0AoBY2Y3qs6dtGgOD6c91N
253,0.871,1,0.648,2,-7.61,0.141,0.248,0.0,0.112,0.775,114.911,171136,4lFOrIFSya1i1cBHMUFve8,Friday Night,Lasmid,Friday Night,4lFOrIFSya1i1cBHMUFve8
254,0.802,0,0.762,6,-3.486,0.0459,0.111,0.000148,0.433,0.801,109.984,148375,0UUczvIt4oAghLNuY8WSEA,Celebrate,Kwesi Arthur,Celebrate,0UUczvIt4oAghLNuY8WSEA
255,0.737,0,0.806,1,-7.611,0.0685,0.117,0.0,0.275,0.502,125.018,246500,0xPz8qjfchKRCAmABJH65Z,Won Da Mo,Mavins,Won Da Mo,0xPz8qjfchKRCAmABJH65Z
256,0.835,1,0.787,2,-6.184,0.0407,0.0696,0.000727,0.0371,0.563,114.016,206316,6u333HFOmt5OTEqNg5qkEJ,Maitama (Going),Teni,Maitama (Going),6u333HFOmt5OTEqNg5qkEJ
257,0.759,0,0.53,10,-7.663,0.114,0.634,3.81e-06,0.152,0.818,94.971,203227,2wH5g73rJRkSjJF5uhAUZT,Put You On,King Promise,5 Star,2wH5g73rJRkSjJF5uhAUZT
258,0.797,0,0.769,1,-6.326,0.0565,0.0875,0.0,0.0853,0.765,110.021,171456,5LXGba7dYrvcLBTVADEOZA,Kaba,Camidoh,Kaba,5LXGba7dYrvcLBTVADEOZA
259,0.87,1,0.45,1,-12.221,0.0434,0.00491,0.414,0.0514,0.508,112.987,116427,3Ry6M5to0EblssBg3pfJt8,Patek,Mr Eazi,Patek,3Ry6M5to0EblssBg3pfJt8
260,0.772,0,0.657,7,-6.287,0.0759,0.00276,0.883,0.0513,0.278,98.016,160392,2YFZ6IaFywtwTVFSBbaIdz,Tabom Riddim,Juls,Tabom Riddim,2YFZ6IaFywtwTVFSBbaIdz
261,0.798,0,0.556,2,-8.985,0.0471,0.364,8.31e-06,0.163,0.901,113.994,155861,2woGTVY8Vx46aYuXfMmwwE,Traboski,BNXN fka Buju,Traboski,2woGTVY8Vx46aYuXfMmwwE
262,0.876,0,0.507,10,-11.035,0.0482,0.0172,0.00117,0.0746,0.583,112.003,480000,0Ek5bneviajgSzZGonWfds,Abo Mvelo (feat. Mellow & Sleazy & M.J),Daliwonga,Abo Mvelo (feat. Mellow & Sleazy & M.J),0Ek5bneviajgSzZGonWfds
263,0.73,1,0.599,9,-6.274,0.0514,0.234,0.0,0.117,0.583,104.992,170155,3haOKq4iH7lsJuEKhjlY4w,LIKE I BE,Camidoh,LIKE I BE,3haOKq4iH7lsJuEKhjlY4w
264,0.727,1,0.6,8,-4.799,0.24,0.636,5.1e-06,0.106,0.754,199.796,216000,7ErtOGQ9DwyQa3lwP77j4u,Asiwaju,Ruger,Asiwaju,7ErtOGQ9DwyQa3lwP77j4u
265,0.833,0,0.836,11,-6.239,0.0703,0.199,0.00757,0.0917,0.946,113.016,156878,22ARLAz83M6AMKNtulC4lB,Run It Up,Zinoleesky,Grit & Lust,22ARLAz83M6AMKNtulC4lB
266,0.557,1,0.539,0,-9.587,0.0877,0.521,0.0,0.101,0.562,102.877,142572,1tKsfYB65Kz74yk0HMCdcH,Running,Ayra Starr,19 & Dangerous (Deluxe),1tKsfYB65Kz74yk0HMCdcH
267,0.776,1,0.565,7,-10.609,0.105,0.36,8.81e-05,0.308,0.53,107.035,216992,5hVjoL3sHepZROri63wBxP,It's Plenty,Burna Boy,"Love, Damini",5hVjoL3sHepZROri63wBxP
268,0.767,1,0.525,0,-10.225,0.232,0.0386,2.1e-05,0.0951,0.478,98.101,259592,6PqdJb18ssWDcROvnsEqy6,Lemons (Lemonade),AKA,Lemons (Lemonade),6PqdJb18ssWDcROvnsEqy6
269,0.947,0,0.652,6,-4.292,0.233,0.156,0.000346,0.0651,0.447,110.031,179800,0Z5HVNSXGXHf7MDb0zJHVW,Wow (feat. Skepta & Naira Marley),Wizkid,"More Love, Less Ego",0Z5HVNSXGXHf7MDb0zJHVW
270,0.75,1,0.578,6,-10.008,0.0574,0.469,0.147,0.0971,0.33,104.989,189714,3Ud4sHDjKfqVv7Z9djQnq0,Omo Elewa,T.Y.E,Omo Elewa,3Ud4sHDjKfqVv7Z9djQnq0
271,0.573,0,0.422,10,-7.621,0.0678,0.551,1.31e-05,0.102,0.693,124.357,184791,26b3oVLrRUaaybJulow9kz,People,Libianca,People,26b3oVLrRUaaybJulow9kz
272,0.775,0,0.595,6,-12.688,0.0488,0.0651,0.00157,0.156,0.623,111.974,207991,2Sd6kW3eOWZBe86hIA8YNm,Bunda,SPINALL,Bunda,2Sd6kW3eOWZBe86hIA8YNm
273,0.866,0,0.842,1,-8.06,0.0703,0.0922,0.00824,0.111,0.51,114.033,223158,5yu4sc1rWJzhMQk3l7SiHi,Confam,Sarkodie,JAMZ,5yu4sc1rWJzhMQk3l7SiHi
274,0.782,1,0.691,5,-8.577,0.103,0.142,0.001,0.297,0.561,114.999,169043,6DxaRdAjfbhMk4Hn3bdFqz,Bad Boy (feat. Mayorkun),Oxlade,Bad Boy (feat. Mayorkun),6DxaRdAjfbhMk4Hn3bdFqz
275,0.696,1,0.693,1,-4.031,0.101,0.187,0.0,0.0771,0.935,108.928,221080,12n8d0AfedBQysTcN4Tg6W,Obianuju,Duncan Mighty,Legacy (Ahamefuna),12n8d0AfedBQysTcN4Tg6W
276,0.914,1,0.721,2,-6.966,0.0413,0.0642,0.0352,0.0794,0.481,114.053,182073,7zhLSGUbneW7Tm3wpp3HjY,Abracadabra,Rexxie,Abracadabra,7zhLSGUbneW7Tm3wpp3HjY
277,0.934,1,0.322,0,-9.114,0.0678,0.226,0.132,0.0707,0.965,115.019,297169,5DuZrfanbwiEtmU7ZDXaX0,JJC,Shatta Wale,JJC,5DuZrfanbwiEtmU7ZDXaX0
278,0.928,1,0.676,1,-6.926,0.0777,0.0596,0.000962,0.0943,0.518,113.08,178468,0SzvGgLW3d3P6ODpRwxGPA,Nack Remix,The Therapist,Nack Remix,0SzvGgLW3d3P6ODpRwxGPA
279,0.882,0,0.631,6,-8.466,0.0661,0.142,0.0,0.103,0.444,113.005,221805,0R7KRqS9h8gLVzLc7mDE8q,Thermometer (Ma Lo),DJ Mic Smith,Thermometer (Ma Lo),0R7KRqS9h8gLVzLc7mDE8q
280,0.888,0,0.714,2,-6.083,0.0317,0.166,0.062,0.345,0.744,113.969,199198,187DDPVJmevl1ce0btDBum,SPOIL MY BABY,SDK,SPOIL MY BABY,187DDPVJmevl1ce0btDBum
281,0.826,0,0.657,5,-7.779,0.147,0.204,1.37e-05,0.0668,0.86,118.049,168858,0Em4eY10PGyiBlmjWxcav3,Party No Dey Stop,Adekunle Gold,Party No Dey Stop,0Em4eY10PGyiBlmjWxcav3
282,0.802,0,0.903,7,-5.228,0.0845,0.327,1.59e-05,0.129,0.614,120.722,576042,59RM57pqpvd4uVSw7zTqfw,Amapiano Breakfast,Dj Twise,Gbedu Hour Afrobeats 2023 (Dj Mix),59RM57pqpvd4uVSw7zTqfw
283,0.824,0,0.886,4,-5.527,0.0414,0.128,9.46e-06,0.207,0.864,113.966,147504,4IhkeUUPpPfT3eP0yN4bq7,Back To Sender,Skiibii,Back To Sender,4IhkeUUPpPfT3eP0yN4bq7
