,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID
117,0.792,0,0.314,9,-11.564,0.0802,0.732,0.0731,0.142,0.788,90.052,158000,0xdGnsQsT1tZqfRTgj48PO,Upstairs,RLLBTS,Upstairs,0xdGnsQsT1tZqfRTgj48PO
118,0.664,0,0.264,0,-9.455,0.0491,0.224,0.625,0.469,0.302,86.031,140930,5YGrJ7Vy0cOQl2F4uzl6lT,The Island,Harry Hawaii,The Island,5YGrJ7Vy0cOQl2F4uzl6lT
119,0.744,0,0.478,11,-10.504,0.0359,0.408,0.683,0.441,0.589,79.497,132011,5unpQQb6s6qRfOlUpP9U1W,Ifeyinwa,Wilczynski,Marrakech EP,5unpQQb6s6qRfOlUpP9U1W
120,0.526,0,0.39,8,-13.866,0.0303,0.69,0.972,0.677,0.262,139.23,169867,0CK0jsUUNtHeQDJBiAzU70,Patient Stabilized,L E F,Patient Stabilized,0CK0jsUUNtHeQDJBiAzU70
121,0.753,0,0.22,11,-14.209,0.0583,0.949,0.934,0.115,0.397,139.048,157947,6LIO0pUabklDK3jFZNCgRV,sundaythefirstofaugust,Webmoms,sundaythefirstofaugust,6LIO0pUabklDK3jFZNCgRV
122,0.699,1,0.333,9,-15.543,0.0391,0.529,0.901,0.556,0.448,88.152,122750,54zP26HCJ1PBnAwp0kpE1Y,Airball,Donkeychote,Airball,54zP26HCJ1PBnAwp0kpE1Y
123,0.638,0,0.209,2,-18.248,0.0725,0.854,0.828,0.098,0.54,83.015,115663,5jbOCsyeMKNxw2Xk3RSylS,When the Rain Comes,Dualizm,When the Rain Comes,5jbOCsyeMKNxw2Xk3RSylS
124,0.67,1,0.351,11,-7.109,0.0571,0.183,0.17,0.116,0.494,160.013,96000,4hEtLH4D9zXiYuefvhaFDg,spring breeze,yeyts.,spring breeze,4hEtLH4D9zXiYuefvhaFDg
125,0.701,1,0.28,10,-10.097,0.0431,0.243,0.705,0.103,0.31,93.008,153500,6IMizBxvWe908mqf9rJlW0,Don't Go,sloh rou,Don't Go,6IMizBxvWe908mqf9rJlW0
126,0.715,0,0.239,1,-12.336,0.0369,0.167,0.586,0.111,0.206,80.959,121482,23f7knsxaG3hydPGazsA0W,Top Of The World,Smeeagain,Top Of The World,23f7knsxaG3hydPGazsA0W
127,0.608,0,0.368,11,-13.934,0.0407,0.703,0.018,0.105,0.069,79.958,125250,0LIIItEvBkt2hX1joyUhId,Drop By Drop,Moderator,Drop By Drop,0LIIItEvBkt2hX1joyUhId
128,0.719,1,0.836,0,-3.733,0.0315,0.109,0.954,0.111,0.546,151.994,116053,20pxIVsAEvIxbKwh3rjIju,Who Are We,Burrito Eats,Who Are We,20pxIVsAEvIxbKwh3rjIju
129,0.921,1,0.432,7,-13.451,0.105,0.00401,0.932,0.108,0.519,152.367,100806,6Ncyd2Ki678etIRVvLAQTF,Tonspur Jazz,Jost Esser,Tonspur Jazz,6Ncyd2Ki678etIRVvLAQTF
130,0.783,1,0.441,4,-13.352,0.246,0.127,0.654,0.112,0.209,87.907,184612,2zBAY11oKzMfIM4TY94LI6,Warm Flicker,rocomoco,Into the Blue,2zBAY11oKzMfIM4TY94LI6
131,0.474,0,0.266,9,-10.536,0.0305,0.192,0.924,0.0801,0.22,75.009,178733,0SECfQ39aAxnp1tMCIDrCg,Medication,L E F,Antidote,0SECfQ39aAxnp1tMCIDrCg
132,0.832,0,0.301,1,-10.205,0.158,0.678,0.684,0.0567,0.487,75.982,117841,5MaPFUOETqvw2bNIAuJkTP,Locust,Noflik,Arboretum,5MaPFUOETqvw2bNIAuJkTP
133,0.472,1,0.627,8,-9.978,0.135,0.807,0.904,0.107,0.933,172.028,72450,3k46yZpUrnR5NC9CwdrfT3,Yazzy,isaintjames,Yazzy,3k46yZpUrnR5NC9CwdrfT3
134,0.612,0,0.211,2,-14.876,0.0403,0.87,0.913,0.106,0.247,77.93,123077,5LAlZfEzoY9hcLSCmN8PuZ,Phantasm,Myríad,Phantasm,5LAlZfEzoY9hcLSCmN8PuZ
135,0.768,1,0.269,0,-15.189,0.123,0.0397,0.465,0.103,0.58,83.012,87048,2omgCcDetlo5bsOx6Dcdrp,Paper Plane,Beatific Vision,Paper Plane,2omgCcDetlo5bsOx6Dcdrp
136,0.525,0,0.171,4,-18.986,0.142,0.495,0.755,0.33,0.37,163.723,100909,6cF7WT6HaE92m3dN1hlZhJ,Frosty,Florence Ada,Frosty,6cF7WT6HaE92m3dN1hlZhJ
137,0.761,1,0.582,8,-8.302,0.044,0.686,0.9,0.11,0.663,76.973,99740,48IOGXZiQIyM64Co7UpjUh,On The Rocks,Guzimi,On The Rocks,48IOGXZiQIyM64Co7UpjUh
138,0.651,0,0.145,4,-8.834,0.0646,0.904,0.85,0.106,0.493,77.464,139355,78eRRJcbSM643Ymm1X2KGD,nightwalker,damaa.beats,daydreams,78eRRJcbSM643Ymm1X2KGD
139,0.84,1,0.258,2,-9.332,0.0545,0.0238,0.32,0.111,0.493,150.023,89600,06fpohb3cN7BzTwqC3M7eY,Night Session,SP-Mato,Night Session,06fpohb3cN7BzTwqC3M7eY
140,0.856,0,0.0629,9,-21.378,0.138,0.783,0.373,0.0939,0.185,81.012,118519,7gUnSShgDIlRQjsPsRKXad,Colors,Dolittlebeats,Colors,7gUnSShgDIlRQjsPsRKXad
141,0.451,0,0.324,7,-8.048,0.0614,0.746,0.799,0.106,0.661,148.703,117000,4HTbx3Gny40i6LcQSWNgAZ,Pressure,Uli Tiro,Pressure,4HTbx3Gny40i6LcQSWNgAZ
142,0.775,0,0.464,11,-11.299,0.172,0.0521,0.705,0.105,0.637,153.951,102857,3bFQS0uqG7zJ830fYLkKly,I Can Feel It,Living Room,I Can Feel It,3bFQS0uqG7zJ830fYLkKly
143,0.746,1,0.666,10,-6.08,0.113,0.213,0.189,0.114,0.0874,160.056,112000,0GtDUjBoDAqaJbJJlDWvvM,Blossoms,DYVN,Blossoms,0GtDUjBoDAqaJbJJlDWvvM
144,0.726,1,0.414,8,-11.415,0.0591,0.546,0.791,0.122,0.298,83.061,161386,3VCI3z756BEKFN7mGllsS6,All In Good Time,Jazzy James,All In Good Time,3VCI3z756BEKFN7mGllsS6
145,0.601,0,0.243,11,-13.289,0.0584,0.816,0.799,0.0828,0.422,155.982,116000,4dS7fR0EjiwkUyO8WiPXt5,Fables Of Tales,Terce S.,Fables Of Tales,4dS7fR0EjiwkUyO8WiPXt5
146,0.838,0,0.361,11,-11.513,0.251,0.788,0.943,0.101,0.699,82.001,140884,5Jk9uO3DbBAoa6JFXpPcYJ,L'eau,Mindeliq,L'eau,5Jk9uO3DbBAoa6JFXpPcYJ
147,0.709,0,0.208,11,-18.08,0.106,0.645,0.743,0.0907,0.428,173.993,132414,00oSY6ZhNBI9uDf45e6VMw,Midnight Stroll,CMJ,Midnight Stroll,00oSY6ZhNBI9uDf45e6VMw
148,0.727,1,0.308,10,-12.375,0.0375,0.855,0.435,0.111,0.568,80.078,192500,2ho9hXhrskQHdzVHc28j5Y,Blossom,Gnarly,Blossom,2ho9hXhrskQHdzVHc28j5Y
149,0.413,0,0.315,4,-14.258,0.0691,0.984,0.904,0.1,0.473,173.313,110769,0iSaPL6ibq9y3Kc6gdr6vb,Hug Cloud,Zmeyev,Hug Cloud,0iSaPL6ibq9y3Kc6gdr6vb
150,0.756,0,0.242,9,-13.628,0.187,0.379,0.733,0.0717,0.802,73.996,142703,2D7Unr9oh9JLNPdhzTeqrq,Welcome Home,Louk,Welcome Home,2D7Unr9oh9JLNPdhzTeqrq
151,0.549,1,0.373,2,-9.33,0.0315,0.479,0.867,0.0908,0.145,156.101,128720,1xb1ELvhWhuJgnoDP37DJD,What About Spring,Mr. Käfer,Eunoia,1xb1ELvhWhuJgnoDP37DJD
152,0.789,0,0.531,6,-10.081,0.286,0.0326,0.0396,0.152,0.656,88.025,105178,13sIC4vLfw2DNAjyO8hY1l,Smoove,Beatific Vision,Smoove,13sIC4vLfw2DNAjyO8hY1l
