,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID
96,0.747,1,0.698,10,-7.979,0.0303,0.196,0.0,0.104,0.662,120.001,226090,6j1ozzGneQBsY0SvMgtKCi,You And I,Cuong Seven,You And I Single,6j1ozzGneQBsY0SvMgtKCi
97,0.588,0,0.386,4,-7.15,0.029,0.677,0.0,0.194,0.467,80.007,259834,2WwlCvZ3rk9A2BGOQoEuaX,Buc Tranh Tu Nuoc Mat,Mr.Siro,Nuoc Mat Va Em,2WwlCvZ3rk9A2BGOQoEuaX
98,0.496,0,0.578,1,-6.488,0.0303,0.697,6.91e-06,0.277,0.284,132.031,280503,2z9qMWRcxVaQWTZ0d4z9Rv,Mưa,Thùy Chi,Mưa,2z9qMWRcxVaQWTZ0d4z9Rv
99,0.475,0,0.513,6,-5.697,0.0301,0.351,0.0,0.281,0.556,169.615,269765,3I1RVszVaaMrdXrS3RGWpX,Doi Thay,Hồ Quang Hiếu,Doi Thay,3I1RVszVaaMrdXrS3RGWpX
100,0.564,0,0.484,5,-5.824,0.0293,0.853,1.17e-06,0.0928,0.145,95.025,270279,1n1nfYSCem40sVcjrWtNyL,,Various Artists,,1n1nfYSCem40sVcjrWtNyL
101,0.755,0,0.827,9,-4.678,0.0339,0.262,0.000188,0.159,0.538,102.981,233029,31NwiyKKXLYrrlZHhdvql3,Chung Ta Khong Thuoc Ve Nhau,Sơn Tùng M-TP,Lac Troi,31NwiyKKXLYrrlZHhdvql3
102,0.78,0,0.645,3,-5.669,0.0317,0.00834,0.00164,0.148,0.688,127.998,254691,66I6NV3YSITghTr08QKdS4,Yeu Mot Nguoi Co Le - Remix,Lou Hoàng,Yeu Mot Nguoi Co Le (Remix),66I6NV3YSITghTr08QKdS4
103,0.787,0,0.728,1,-5.673,0.0378,0.555,0.000257,0.0905,0.765,113.011,225176,2K50WrBB07VDrzO6Z3niHX,Bao Giờ Lấy Chồng,Bich Phuong,Bao Giờ Lấy Chồng,2K50WrBB07VDrzO6Z3niHX
104,0.601,0,0.886,10,-6.582,0.0888,0.167,0.0,0.136,0.662,169.981,213734,1rzq4yKE7uYPOlCU07Vv6M,My Lady Remix,YanBi,Tuyen Tap Yanbi Vol 9,1rzq4yKE7uYPOlCU07Vv6M
105,0.546,0,0.48,10,-5.681,0.0369,0.884,0.0,0.0919,0.548,140.216,309596,4JzHaD80swnW4jJ3ddPsEO,Yeu Mot Nguoi Vo Tam,Bao Anh,Yeu Mot Nguoi Vo Tam,4JzHaD80swnW4jJ3ddPsEO
